rep,blok,sorta,prinos
1,1,1,46.5
1,1,2,55.7
1,1,3,37.7
1,1,4,50.3
1,2,5,43.1
1,2,6,47.6
1,2,7,35.5
1,2,8,45.9
2,1,1,40.1
2,1,2,55.8
2,1,7,39.7
2,1,8,51.7
2,2,3,41.2
2,2,4,61.7
2,2,5,49.8
2,2,6,53.6
3,1,1,42.3
3,1,3,43.8
3,1,6,45.6
3,1,8,51.0
3,2,2,52.7
3,2,4,52.5
3,2,5,46.4
3,2,7,46.3
4,1,1,40.7
4,1,4,53.0
4,1,6,45.0
4,1,7,38.0
4,2,2,56.1
4,2,3,39.0
4,2,5,54.7
4,2,8,48.5
5,1,1,44.1
5,1,2,56.6
5,1,5,44.7
5,1,6,51.7
5,2,3,39.0
5,2,4,47.8
5,2,7,41.6
5,2,8,49.4
6,1,1,45.6
6,1,3,37.0
6,1,5,49.5
6,1,7,45.4
6,2,2,48.2
6,2,8,54.0
6,2,4,47.4
6,2,6,53.8
7,1,1,44.6
7,1,4,52.4
7,1,5,50.2
7,1,8,52.0
7,2,2,56.8
7,2,3,37.8
7,2,6,45.7
7,2,7,42.6
