tretman,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
T1,5.0,5.4,5.6,5.9,5.8,6.3,7.4,10.9,15.5,20.3,51.8
T1,5.2,5.6,5.7,5.9,6.1,6.2,7.2,11.0,15.3,20.3,49.1
T1,5.2,5.7,5.8,5.8,6.3,6.6,7.5,11.1,15.6,20.0,48.8
T1,5.3,5.2,5.4,6.0,6.1,7.1,7.6,11.0,15.7,21.0,50.3
T1,5.4,5.2,5.6,6.0,5.9,6.7,7.8,10.9,15.2,20.6,51.8
T2,5.1,5.3,5.5,5.9,6.2,6.3,7.5,9.5,15.7,22.0,52.3
T2,5.2,5.2,5.7,6.0,6.1,6.2,7.3,9.6,15.4,22.0,51.7
T2,5.0,5.5,5.3,5.8,5.8,6.4,7.3,9.5,15.7,22.0,52.3
T2,5.2,5.3,5.9,6.1,5.8,6.8,7.4,9.9,15.3,22.6,53.4
T2,5.4,5.3,5.6,6.0,6.1,6.5,7.6,9.7,15.5,22.5,52.9
T3,5.1,5.7,5.6,5.9,6.0,6.3,7.5,9.5,15.4,22.1,52.2
T3,5.2,5.5,5.8,6.0,6.0,6.2,7.6,9.7,15.7,22.0,52.1
T3,5.4,5.3,6.0,5.9,5.8,6.5,7.5,9.5,15.5,22.0,52.1
T3,5.3,5.7,5.4,6.0,6.2,6.7,7.4,9.5,15.3,22.5,52.5
T3,5.6,5.5,5.7,6.0,5.9,6.9,7.6,9.6,15.6,22.5,52.6
T4,5.0,5.6,5.7,5.8,5.9,6.4,7.7,9.5,15.6,22.8,53.0
T4,5.2,5.6,5.6,5.8,6.1,6.3,7.7,9.9,15.3,21.6,51.4
T4,5.4,5.3,5.7,6.1,6.2,6.3,7.5,9.6,15.7,21.7,52.1
T4,5.4,5.7,5.8,6.1,5.9,7.0,7.6,9.7,15.2,22.8,53.1
T4,5.5,5.5,5.7,5.9,6.2,6.9,7.4,9.4,15.8,23.0,53.8
