blok,sorta,azot,prinos
1,S1,N0,111
1,S1,N2,130
1,S1,N4,157
1,S1,N6,174
1,S2,N0,117
1,S2,N2,114
1,S2,N4,161
1,S2,N6,141
1,S3,N0,105
1,S3,N2,140
1,S3,N4,118
1,S3,N6,156
2,S1,N0,61
2,S1,N2,91
2,S1,N4,97
2,S1,N6,100
2,S2,N0,70
2,S2,N2,108
2,S2,N4,126
2,S2,N6,149
2,S3,N0,96
2,S3,N2,124
2,S3,N4,121
2,S3,N6,144
3,S1,N0,68
3,S1,N2,64
3,S1,N4,112
3,S1,N6,86
3,S2,N0,60
3,S2,N2,102
3,S2,N4,89
3,S2,N6,96
3,S3,N0,89
3,S3,N2,129
3,S3,N4,132
3,S3,N6,124
4,S1,N0,74
4,S1,N2,89
4,S1,N4,81
4,S1,N6,122
4,S2,N0,64
4,S2,N2,103
4,S2,N4,132
4,S2,N6,133
4,S3,N0,70
4,S3,N2,89
4,S3,N4,104
4,S3,N6,117
5,S1,N0,62
5,S1,N2,90
5,S1,N4,100
5,S1,N6,116
5,S2,N0,80
5,S2,N2,82
5,S2,N4,94
5,S2,N6,126
5,S3,N0,63
5,S3,N2,70
5,S3,N4,109
5,S3,N6,99
6,S1,N0,53
6,S1,N2,74
6,S1,N4,118
6,S1,N6,113
6,S2,N0,89
6,S2,N2,82
6,S2,N4,86
6,S2,N6,104
6,S3,N0,97
6,S3,N2,99
6,S3,N4,119
6,S3,N6,121
